nama,lat,lon,wilayah,sumber,alamat_asli
Eatboss Cafe,-6.9088982,107.6184895,Kabupaten Bandung,cafe,"Eatboss Cafe, #66, Jalan Aceh, Merdeka, Sumur Bandung, Kota Bandung, Jawa, 40113, Indonesia"
Bober,-6.917453,107.6132859,Kabupaten Bandung,cafe,"Bober, 11, Jalan Sumatra, Braga, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
Brusselsspring,-6.9164146,107.6138316,Kabupaten Bandung,cafe,"Brusselsspring, 28, Jalan Natuna, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
Soleluna,-6.916593,107.6138143,Kabupaten Bandung,cafe,"Soleluna, 28, Jalan Sumatra, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
Two Cents,-6.905489,107.6206005,Kabupaten Bandung,cafe,"Two Cents, 2, Jalan Cimanuk, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
Little White Cafe,-6.9291255,107.6196615,Kabupaten Bandung,cafe,"Little White Cafe, 11A, Jalan Lodaya, Malabar, Lengkong, Kota Bandung, Jawa Barat, Jawa, 40263, Indonesia"
Vanilla Kitchen & Wine,-6.9036224,107.6209866,Kabupaten Bandung,cafe,"Vanilla Kitchen & Wine, 11, Jalan Cimanuk, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40122, Indonesia"
Kopi Progo,-6.9046421,107.618747,Kabupaten Bandung,cafe,"Kopi Progo, 22, Jalan Progo, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
Giggle Box Cafe And Resto,-6.9045688,107.6197076,Kabupaten Bandung,cafe,"Giggle Box Cafe And Resto, 33, Jalan Progo, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
Southville,-6.9286472,107.5868038,Kabupaten Bandung,cafe,"Southville, 249, Jalan Peta, Sukaasih, Bojongloa Kaler, Kota Bandung, Jawa Barat, Jawa, 40231, Indonesia"
Wiki Koffie,-6.9160557,107.6091519,Kabupaten Bandung,cafe,"Wiki Koffie, 90, Jalan Lembong, Braga, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40111, Indonesia"
Everjoy Coffee and Cafe,-6.9052965,107.6138859,Kabupaten Bandung,cafe,"Everjoy Coffee and Cafe, 3, Jalan Bahureksa, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
Chingu Cafe,-6.9010768,107.6097423,Kabupaten Bandung,cafe,"Chingu Cafe, 10, Jalan Sawunggaling, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
Lekker 188 Coffee & Foodhub,-6.9225073,107.6175479,Kabupaten Bandung,coffee_shop,"Lekker 188 Coffee & Foodhub, 188, Jalan Sunda, Burangrang, Lengkong, Kota Bandung, Jawa Barat, Jawa, 40242, Indonesia"
Kupu Bistro,-6.9025783,107.6097557,Kabupaten Bandung,cafe,"Kupu Bistro, 1, Jalan Rangga Gadang, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40116, Indonesia"
ETC Etcetera,-6.9024057,107.6143369,Kabupaten Bandung,cafe,"ETC Etcetera, 40, Jalan Trunojoyo, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
Oldbens Cafe,-6.900332,107.6136806,Kabupaten Bandung,cafe,"Oldbens Cafe, 7, Jalan Diponegoro, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40116, Indonesia"
